comment_text,true_toxic,pred_toxic,prob_toxic,true_severe_toxic,pred_severe_toxic,prob_severe_toxic,true_obscene,pred_obscene,prob_obscene,true_threat,pred_threat,prob_threat,true_insult,pred_insult,prob_insult,true_identity_hate,pred_identity_hate,prob_identity_hate,num_true_labels,num_pred_labels,is_true_multilabel,is_pred_multilabel
Suck my dikkkkk == Suck my dikkkkk Gogo Gogo giving blowjobs on demand,1,1,0.9260046092910117,1,0,0.17004724829849086,1,1,0.8600242357741732,0,0,0.0024743888111593785,1,0,0.4570408913715533,0,0,0.012491667944207285,4,2,True,True
"hi kannadiga shame on you You look like a terrible ass now with that false citation, Kannadiga. Where did you say Urdu originate? Africa? Despite all the lies and idiocy you spewed, you and a handful of Kanndadigas think you are a valuable encyclopedic contributor!",1,1,0.9169446667594328,0,0,0.026685191518388832,0,0,0.3601992172995818,0,0,0.01282587983501124,1,0,0.4008510298910119,0,0,0.027222209851669392,2,1,True,False
"""""""Please do not add defamatory content to Wikipedia, as you did to List of WWE Intercontinental Champions."""" What a fucking hypocrite. The fact that you left me a message telling me what a fucking douchebag I am just goes to show what a massive tool you are. Just for your information, that 100 day rule was something I started 2 years ago. """,1,1,0.7780626237078317,0,0,0.010390113235893391,1,1,0.6088273525968831,0,0,0.003356102181877027,1,0,0.27674953775087846,0,0,0.006493764869117805,3,2,True,True
U Suck why can i not edit i am not writing anything bad just changes words to their correct spelling.,1,0,0.2796502163906274,0,0,0.006149770228435247,1,0,0.08307467963925175,0,0,0.0010907952525588045,1,0,0.03285871964890737,0,0,0.004653403532023858,3,0,True,False
""" The Graceful Slick.... Is non other than an ungraceful dick!81.158.100.146 """,1,1,0.56052145709899,0,0,0.010156754082890478,1,0,0.25586472168374363,0,0,0.001888900994849715,1,0,0.20007981489790097,0,0,0.009301660366680831,3,1,True,False
""" Ok, now I really don't understand you. You've gone and tagged Image:Damnation Crusade1.jpg for deletion. Why? It's from the very damn website that sells the comic! If they didn't want the picture to be used as a representation of the series, then they wouldn't of used it as a representation of the series themselves! It's bloody well low resolution, too! What more do you want, Editor-Fag? Obviously, I can't argue with compulsive editor-fags like you. Fine, delete it, and the Image:Forge of War1.jpg one. I'm just trying to add images to help the community on wikipedia to improve the articles that call for pictures. I see it that it does comply to all of the image policies, except perhaps that one """"resolution"""" rule, but, then again, if you've got a problem with it, then you can easily solve it yourself. I'm not going to be forced to do the work of an editor-fag like yourself.""",1,0,0.06472064147570894,0,0,0.0011116191707177276,1,0,0.02547821734050159,0,0,0.0009060197738150318,1,0,0.013450796570626462,0,0,0.0019958367863600144,3,0,True,False
"Honesty, where the fuck is the Adeputs Mechanicus page, I typed Machine God in search and some crap that has nothing to do with Warhammer 40,000 turned up, honesty what the fuck, whoever is killing Warhammer 40,000 on wikipedia needs to die in the fire and if you don't like what I said, then you can join them as well, deal with it.( )",1,1,0.9662088597643913,0,0,0.013289645515732201,1,1,0.8433042785820494,1,0,0.008764814834067082,1,0,0.21864362201363158,0,0,0.015266042152026132,4,2,True,True
""" You just plain fanatics, stupid stupid herd member, a victim of """"brainwashing"""" if you are U.S. resident, I give you a better proposal for a flag for your country - this flag would be better suited to her: thumb|Just do not forget scold, you a patriotic American brat """,1,1,0.6164808423641371,0,0,0.011080618583846305,0,0,0.15939036429760314,0,0,0.005769294428777102,1,0,0.29028467603260155,0,0,0.02207996715939148,2,1,True,False
"My name is in there, and I am not the person the paranoid idiot who put it there claims I am. That is all I have to say on the matter for now.",1,0,0.23012106325975273,0,0,0.0020019681384791286,1,0,0.0473494340118438,0,0,0.0008642951040395613,1,0,0.049386679715561994,0,0,0.002306784537682595,3,0,True,False
"stop your shit! Stop writing bullshit on my talk page! Spread your spam and gossip somewhere else. I don’t know in what kind of mental state you are and what kind of drugs you take before opening my talk page and I frankly don’t care what you think or what you do. But I guess you must have the most boring life in this earth, since you don’t have nothing else to do, bur write such garbage every time you open my talk page. Get mature!",1,1,0.9042446660501247,0,0,0.012088300289668903,1,0,0.44541449098473884,0,0,0.005126742831333881,1,0,0.22209813360988376,0,0,0.0069037941277794454,3,1,True,False
